ID,CATEGORY,NAME,PLACE_ID,LAT,LNG,ICON,RATING,REFERENCE,TYPE
P073,GALLERIES,Chitra Sante,ChIJl1LdKz4WrjsREeNO-QKA5ME,12.9894377,77.5816874,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,4.3,ChIJl1LdKz4WrjsREeNO-QKA5ME,"['museum', 'point_of_interest', 'establishment']"
P074,GALLERIES,Shades Creative Learning,ChIJra63XU4UrjsRMq7Cx5f4kxU,12.9367078,77.6151631,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,5,ChIJra63XU4UrjsRMq7Cx5f4kxU,"['art_gallery', 'museum', 'store', 'point_of_interest', 'establishment']"
P075,GALLERIES,Shalom Arts and Crafts,ChIJwXVsFtoWrjsRqMIayXPf05U,12.9980124,77.6478852,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3,ChIJwXVsFtoWrjsRqMIayXPf05U,"['art_gallery', 'museum', 'point_of_interest', 'establishment']"
P076,GALLERIES,Fear Tattoo Studio,ChIJ58mTYtsXrjsRCsmI6NWVn48,13.0281185,77.5714471,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,4.8,ChIJ58mTYtsXrjsRCsmI6NWVn48,"['art_gallery', 'museum', 'store', 'point_of_interest', 'establishment']"
P077,GALLERIES,Visvesvaraya Industrial & Technological Museum,ChIJqyoigt8VrjsRp_hKR5Y_1X8,12.9752264,77.5963449,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,4.6,ChIJqyoigt8VrjsRp_hKR5Y_1X8,"['museum', 'point_of_interest', 'establishment']"
P078,GALLERIES,Karnataka Chitrakala Parishath,ChIJzRxhID4WrjsRMW9WwS2aSzo,12.9891331,77.580568,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.5,ChIJzRxhID4WrjsRMW9WwS2aSzo,"['art_gallery', 'point_of_interest', 'establishment']"
P079,GALLERIES,Mahua- The Art Gallery,ChIJHVbghjYWrjsRIqRh_LqfGIc,13.005591,77.5816385,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.2,ChIJHVbghjYWrjsRIqRh_LqfGIc,"['art_gallery', 'point_of_interest', 'establishment']"
P080,GALLERIES,Venkatappa Art Gallery,ChIJKW2JvnAWrjsRUhxNZVxBjBc,12.9742357,77.5953023,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.1,ChIJKW2JvnAWrjsRUhxNZVxBjBc,"['art_gallery', 'point_of_interest', 'establishment']"
P081,GALLERIES,Gallery Sumukha,ChIJ27LMccUVrjsRxUulUOJ-M28,12.9534089,77.5943291,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3.9,ChIJ27LMccUVrjsRxUulUOJ-M28,"['art_gallery', 'point_of_interest', 'establishment']"
P082,GALLERIES,Life on Wall Art Gallery,ChIJ5ekDVPERrjsRRL8T1CnB3Dc,12.979583,77.728371,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.4,ChIJ5ekDVPERrjsRRL8T1CnB3Dc,"['art_gallery', 'general_contractor', 'point_of_interest', 'establishment']"
P083,GALLERIES,Crimson Art Gallery,ChIJwwCLo2gWrjsRcgo78Q-NZxk,12.9850893,77.5956845,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.2,ChIJwwCLo2gWrjsRcgo78Q-NZxk,"['art_gallery', 'point_of_interest', 'establishment']"
P084,WILDLIFE,Bannerghatta Biological Park,ChIJsW0ZC-BprjsRXzqh_3gub08,12.800285,77.5770474,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4.1,ChIJsW0ZC-BprjsRXzqh_3gub08,"['zoo', 'park', 'point_of_interest', 'establishment']"
P085,WILDLIFE,Wildlife hospital,ChIJL7ZvITo_rjsRL3MbAgGv5_I,12.9037204,77.4978164,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.5,ChIJL7ZvITo_rjsRL3MbAgGv5_I,"['point_of_interest', 'establishment']"
P086,WILDLIFE,Wildlife Rescue & Rehabilitation Centre - Admin Office,ChIJ_aIqvZcWrjsR-jXDxbwkFv0,12.981715,77.628559,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,1.8,ChIJ_aIqvZcWrjsR-jXDxbwkFv0,"['point_of_interest', 'establishment']"
P087,WILDLIFE,Wildlife Conservation Society - India,ChIJPU87eH8VrjsR1vj_IBtICm8,13.0693685,77.5825618,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.5,ChIJPU87eH8VrjsR1vj_IBtICm8,"['point_of_interest', 'establishment']"
P088,WILDLIFE,Avian and Reptile Rehabilitation Centre,ChIJwb048dEQrjsRsVkMCmJCjog,13.0205198,77.6581767,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.8,ChIJwb048dEQrjsRsVkMCmJCjog,"['point_of_interest', 'establishment']"
P089,WILDLIFE,WASI,ChIJQxxKuykUrjsRUTm4db3mpgE,12.9660941,77.6153919,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3.7,ChIJQxxKuykUrjsRUTm4db3mpgE,"['point_of_interest', 'establishment']"
P090,WILDLIFE,Wildlife Rescue And Rehabilitation Centre (WRRC),ChIJten86T1qrjsR1AjQKDHyydE,12.802023,77.5862844,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.5,ChIJten86T1qrjsR1AjQKDHyydE,"['veterinary_care', 'point_of_interest', 'establishment']"
P091,WILDLIFE,Bison in Africa,ChIJWTstbtYVrjsRvvNW1nFaK6U,12.965577,77.6013041,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,5,ChIJWTstbtYVrjsRvvNW1nFaK6U,"['park', 'point_of_interest', 'establishment']"
P092,WILDLIFE,Bannerghatta Safari,ChIJNWVq8gFCrjsRsA77LtMNk8w,12.7826046,77.5569265,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.3,ChIJNWVq8gFCrjsRsA77LtMNk8w,"['point_of_interest', 'establishment']"
P093,WILDLIFE,Wildlife Museum,ChIJg1llcxFqrjsROp5Iv0XZEUg,12.8013037,77.576672,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.3,ChIJg1llcxFqrjsROp5Iv0XZEUg,"['zoo', 'point_of_interest', 'establishment']"
P094,WILDLIFE,Wildlife,ChIJM6uq6uETrjsRjvonfXNXKUo,12.9691779,77.6702235,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,0,ChIJM6uq6uETrjsRjvonfXNXKUo,"['travel_agency', 'point_of_interest', 'establishment']"
P095,WILDLIFE,Centre For Wildlife Studies,ChIJP74ysnEXrjsRbdicBjG7k2U,12.974809,77.616254,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,5,ChIJP74ysnEXrjsRbdicBjG7k2U,"['point_of_interest', 'establishment']"
P096,WILDLIFE,wildlife rescue,ChIJh0T0zFkjrjsRfNiaP7XZCaI,13.0787588,77.5526891,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,5,ChIJh0T0zFkjrjsRfNiaP7XZCaI,"['point_of_interest', 'establishment']"
P097,WILDLIFE,INDIAN WILDLIFE RESCUE TRUST,ChIJiYqsmkcRrjsR5cL0KqNgLjY,12.9925698,77.6672407,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,5,ChIJiYqsmkcRrjsR5cL0KqNgLjY,"['point_of_interest', 'establishment']"
P098,WILDLIFE,Wildlife First,ChIJBQT7racVrjsRj5mkJFqhZU0,12.924477,77.594143,https://maps.gstatic.com/mapfiles/place_api/icons/civic_building-71.png,1,ChIJBQT7racVrjsRj5mkJFqhZU0,"['point_of_interest', 'establishment']"
P099,WILDLIFE,Wildlife Conservation & You,ChIJtZhIuv4NrjsRoLsYY5KKbME,12.9698066,77.7499633,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,0,ChIJtZhIuv4NrjsRoLsYY5KKbME,"['point_of_interest', 'establishment']"
P100,WILDLIFE,World Wildlife Trust,ChIJYzmxKnM9rjsRBQyouI-4ZQM,13.0181354,77.539042,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,0,ChIJYzmxKnM9rjsRBQyouI-4ZQM,"['point_of_interest', 'establishment']"
P101,WILDLIFE,Wildlife Rescue & Rehabilitation Centre,ChIJAQAAQNQVrjsRyTsQj9WG7wk,12.9742392,77.6218422,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3,ChIJAQAAQNQVrjsRyTsQj9WG7wk,"['point_of_interest', 'establishment']"
P102,WILDLIFE,"Nature Conservation Foundation, South Bangalore Branch",ChIJSQKMDCo-rjsRCKcJF-sD8Bc,12.9209744,77.5665407,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.8,ChIJSQKMDCo-rjsRCKcJF-sD8Bc,"['point_of_interest', 'establishment']"
P103,WILDLIFE,Vanamitra,ChIJ42yrWykWrjsRJEsCaB7oobc,13.0474127,77.5656044,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3.5,ChIJ42yrWykWrjsRJEsCaB7oobc,"['point_of_interest', 'establishment']"
P104,AMUSEMENT PARKS,Wonderla Bangalore,ChIJW3Or_8dHrjsROESo0OikUl4,12.8345559,77.4009719,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.5,ChIJW3Or_8dHrjsROESo0OikUl4,"['amusement_park', 'point_of_interest', 'establishment']"
P105,AMUSEMENT PARKS,Fun World Amusement Park,ChIJLxh4XLUXrjsRZiRoXxUVbdQ,13.007631,77.591922,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4,ChIJLxh4XLUXrjsRZiRoXxUVbdQ,"['amusement_park', 'bowling_alley', 'point_of_interest', 'establishment']"
P106,AMUSEMENT PARKS,Innovative Film City,ChIJXw7H3ddFrjsR6dGTyCB3E1E,12.777992,77.4150754,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3.2,ChIJXw7H3ddFrjsR6dGTyCB3E1E,"['amusement_park', 'point_of_interest', 'establishment']"
P107,AMUSEMENT PARKS,Snow City,ChIJNcKzmE4WrjsRW2a7MA-1Zrs,13.0057596,77.5920609,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3.9,ChIJNcKzmE4WrjsRW2a7MA-1Zrs,"['amusement_park', 'point_of_interest', 'establishment']"
P108,AMUSEMENT PARKS,Lumbini Gardens,ChIJLW9DVZEXrjsRc7QNiDwPwSU,13.0434124,77.6096254,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3.6,ChIJLW9DVZEXrjsRc7QNiDwPwSU,"['amusement_park', 'point_of_interest', 'establishment']"
P109,AMUSEMENT PARKS,Water World,ChIJh2l_F0wWrjsR2JQjZege8jw,13.0072151,77.5916265,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.2,ChIJh2l_F0wWrjsR2JQjZege8jw,"['amusement_park', 'point_of_interest', 'establishment']"
P110,AMUSEMENT PARKS,Jawahar Bal Bhavan,ChIJpVgFgnEWrjsROefgbD0q5EQ,12.9767893,77.5978333,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4,ChIJpVgFgnEWrjsROefgbD0q5EQ,"['amusement_park', 'point_of_interest', 'establishment']"
P111,AMUSEMENT PARKS,Greenland Amusements,ChIJecA-oA8WrjsRvjYLreHBiDE,12.9442157,77.5971039,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3.8,ChIJecA-oA8WrjsRvjYLreHBiDE,"['amusement_park', 'point_of_interest', 'establishment']"
P112,AMUSEMENT PARKS,Children Amusement Park,ChIJZ4QDyI0UrjsRR_FeFL_bwDA,12.9147826,77.6350183,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3.2,ChIJZ4QDyI0UrjsRR_FeFL_bwDA,"['amusement_park', 'point_of_interest', 'establishment']"
P113,AMUSEMENT PARKS,Krishna Leela Theme Park (ISKCON),ChIJf_bzw-4_rjsR3OFnEnt07ys,12.8903752,77.5466082,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.6,ChIJf_bzw-4_rjsR3OFnEnt07ys,"['amusement_park', 'point_of_interest', 'establishment']"
P114,AMUSEMENT PARKS,DeRoots Kids Amusement Park Bangalore,ChIJbXmtpUpqrjsR4ct0ocaVvZA,12.8097014,77.6071031,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3.9,ChIJbXmtpUpqrjsR4ct0ocaVvZA,"['amusement_park', 'restaurant', 'food', 'point_of_interest', 'establishment']"
P115,AMUSEMENT PARKS,Janatha Bazaar Park,ChIJf_Cy0jUWrjsRy9S79MHEDCk,13.0067688,77.5820908,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.6,ChIJf_Cy0jUWrjsRy9S79MHEDCk,"['amusement_park', 'point_of_interest', 'establishment']"
P116,AMUSEMENT PARKS,Lalbagh Lake,ChIJJQ0QyOsVrjsRzsgVSKFpNQo,12.9482385,77.581335,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.4,ChIJJQ0QyOsVrjsRzsgVSKFpNQo,"['amusement_park', 'point_of_interest', 'establishment']"
P117,AMUSEMENT PARKS,Sky Zone Bengaluru,ChIJ7Rw85rURrjsRi_y5cQTAjww,12.9894726,77.7280163,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.4,ChIJ7Rw85rURrjsRi_y5cQTAjww,"['amusement_park', 'point_of_interest', 'establishment']"
P118,AMUSEMENT PARKS,cylone ride water world,ChIJOy5UBUwWrjsREywGJKbku2E,13.0072884,77.5912934,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.2,ChIJOy5UBUwWrjsREywGJKbku2E,"['amusement_park', 'point_of_interest', 'establishment']"
P119,PLACES OF WORSHIP,Shivoham Shiva Temple,ChIJbyyIePcTrjsRqwxMqUKA4xQ,12.958333,77.656531,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.1,ChIJbyyIePcTrjsRqwxMqUKA4xQ,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P120,PLACES OF WORSHIP,Shree Dodda Ganapathi Temple,ChIJpbprrowVrjsRFme9nlnRtJg,12.942898,77.5681966,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.7,ChIJpbprrowVrjsRFme9nlnRtJg,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P121,PLACES OF WORSHIP,ISKCON Temple Bangalore,ChIJBw42C-09rjsRs7KmQUqyf3o,13.0098328,77.5510964,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.6,ChIJBw42C-09rjsRs7KmQUqyf3o,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P122,PLACES OF WORSHIP,Shrunga Giri Sri Shanmukha Swamy Temple,ChIJUdp6-qQ_rjsR8WyIPF5_QgA,12.9125766,77.5290839,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.7,ChIJUdp6-qQ_rjsR8WyIPF5_QgA,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P123,PLACES OF WORSHIP,Sri Someshwara Swamy Temple,ChIJfR306JsWrjsREJCyldyPh4c,12.9755938,77.6239549,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.7,ChIJfR306JsWrjsREJCyldyPh4c,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P124,PLACES OF WORSHIP,Sri Dharmaraya Swamy Temple,ChIJ22vBPuAVrjsRMyCE1XIn0s8,12.9654326,77.583385,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.7,ChIJ22vBPuAVrjsRMyCE1XIn0s8,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P125,PLACES OF WORSHIP,Sri Gavi Gangadhareshwara Swamy Temple,ChIJh6gk5PUVrjsRT9dhFc5-nrI,12.9480993,77.5629871,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.7,ChIJh6gk5PUVrjsRT9dhFc5-nrI,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P126,PLACES OF WORSHIP,Shree Banashankari Amma Temple,ChIJsYbhsyU-rjsRDwAGdDJ3AFM,12.9157775,77.573381,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.7,ChIJsYbhsyU-rjsRDwAGdDJ3AFM,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P127,PLACES OF WORSHIP,Cave Temple,ChIJ_5bFLNNqrjsRa83ZJS8XDSA,12.8771015,77.5993367,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.5,ChIJ_5bFLNNqrjsRa83ZJS8XDSA,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P128,PLACES OF WORSHIP,Kote Venkataramana Swamy Temple,ChIJ3SALuuQVrjsRbP88lmRxuZs,12.9595137,77.5743092,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.7,ChIJ3SALuuQVrjsRbP88lmRxuZs,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P129,PLACES OF WORSHIP,Sri Dwadasha Jyotirlinga Temple,ChIJgTCp6Q0_rjsR8p5Ai01OtCw,12.899842,77.5058731,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.6,ChIJgTCp6Q0_rjsR8p5Ai01OtCw,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P130,PLACES OF WORSHIP,ISKCON Sri Jagannath Swamy Temple,ChIJo06CADwWrjsRU9hPqpoS1Lg,12.993895,77.5791517,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.7,ChIJo06CADwWrjsRU9hPqpoS1Lg,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P131,PLACES OF WORSHIP,Sri Dakshinamukha Nandi Tirtha Kalyani Kshetra,ChIJ93YkFi4WrjsR5VI05lrnaiA,13.0043516,77.5724463,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.8,ChIJ93YkFi4WrjsR5VI05lrnaiA,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P132,PLACES OF WORSHIP,Lakshmi Narasimha Swamy Temple,ChIJkRvvRqEXrjsRvbpwDpQ8bZA,13.0317887,77.6032153,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.7,ChIJkRvvRqEXrjsRvbpwDpQ8bZA,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P133,PLACES OF WORSHIP,Sree Chokkanatha Swamy Temple,ChIJARolOxkUrjsR2DvgjdxhFlU,12.9624143,77.6350356,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.6,ChIJARolOxkUrjsR2DvgjdxhFlU,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P134,PLACES OF WORSHIP,Shiva Temple,ChIJGR31ZngVrjsRngjPFaIEUEM,12.9197118,77.5710659,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.1,ChIJGR31ZngVrjsRngjPFaIEUEM,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P135,PLACES OF WORSHIP,Ragigudda Sri Prasanna Anjaneyaswamy Temple,ChIJBwLj4g4VrjsRerGf4HTVPUc,12.9142864,77.593172,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.7,ChIJBwLj4g4VrjsRerGf4HTVPUc,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P136,PLACES OF WORSHIP,Sree Surya Narayana Swamy Temple,ChIJKwGhAxEUrjsRHf6F5-OGc3g,12.9548302,77.6385318,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.7,ChIJKwGhAxEUrjsRHf6F5-OGc3g,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P137,PLACES OF WORSHIP,Jagannatha Temple Bengaluru,ChIJoy2f-ZsUrjsRbITDpwEDuhA,12.9240881,77.6496264,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.6,ChIJoy2f-ZsUrjsRbITDpwEDuhA,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P138,PLACES OF WORSHIP,Devagiri Varapada Sree Venkateshwara Temple,ChIJ--L-_YMVrjsR0Hnxo5zbFC4,12.9259169,77.5678223,https://maps.gstatic.com/mapfiles/place_api/icons/worship_hindu-71.png,4.7,ChIJ--L-_YMVrjsR0Hnxo5zbFC4,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']"
P139,PLACES OF WORSHIP,St. Patrick's Church,ChIJP3DMwH8WrjsRwI1WnfVpMLo,12.9701534,77.6058988,https://maps.gstatic.com/mapfiles/place_api/icons/worship_general-71.png,4.6,ChIJP3DMwH8WrjsRwI1WnfVpMLo,"['church', 'place_of_worship', 'point_of_interest', 'establishment']"
